                            Account  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
162        pi_ahoumansadr_umass_edu       2598           80.000000     12228.936389  1.096613                       0.00113                          0.000032
252        pi_vcpartridge_umass_edu          6           80.000000        30.425278       1.5                      0.456473                          0.000032
41              pi_bsilva_umass_edu       2712           80.000000      3694.168333       1.0                      0.003769                          0.000032
64           pi_brownsarahm_uri_edu         54           80.000000       411.990278  2.574074                      0.034968                          0.000033
167            pi_rrahimi_umass_edu        733           80.000000      5900.770556   1.38472                      0.002549                          0.000035
122            pi_pthomas_umass_edu       1753           80.000000      4816.438889  1.001711                      0.003123                          0.000035
23             pi_hzamani_umass_edu        897           80.000000      9195.572222  1.818283                      0.001699                          0.000036
85             pi_mduarte_umass_edu        152           80.000000       837.071389       1.0                      0.019538                          0.000038
106             pi_jensen_umass_edu        265           80.000000      1915.139444   1.25283                      0.008591                          0.000038
156               pi_grilli_uri_edu         64           80.000000       251.412778  1.546875                      0.065471                          0.000038
39            pi_hadi_amiri_uml_edu        495           79.935354      3498.364167  1.810101                      0.004709                          0.000038
83              pi_ljiao_umassd_edu        295           80.000000      2571.489444  1.077966                      0.006532                          0.000039
229          pi_andrewlan_umass_edu         77           80.000000       418.511944       1.0                      0.041958                          0.000041
132        pi_jaimedavila_umass_edu         33           80.000000         126.6675       1.0                      0.142509                          0.000042
163              pi_phaas_umass_edu       1166           80.000000      4307.433611       1.0                       0.00421                          0.000042
72        pi_ebagdasaryan_umass_edu        155           80.000000       671.328056  1.193548                      0.027606                          0.000043
51              pi_jdutta_umass_edu        115           80.000000       623.715833       1.0                      0.030464                          0.000044
8               pi_marlin_umass_edu         14           80.000000        25.071111       1.0                      0.780833                          0.000045
26             pi_ychen5_umassd_edu        508           80.000000      2093.889167       1.0                      0.009844                          0.000048
188           pi_aghasemi_umass_edu        316           80.000000      4257.741111  1.740506                      0.004935                          0.000049
172       pi_dhruveshpate_umass_edu        384           80.000000        1944.2175  1.231771                       0.01093                          0.000049
4             pi_mccallum_umass_edu        808           80.000000      6142.499444  1.153465                      0.003608                          0.000052
57            pi_dganesan_umass_edu         56           80.000000       162.179722  1.160714                      0.138314                          0.000052
202         pi_adamoneill_umass_edu         34           80.000000           179.85       1.0                      0.130419                          0.000055
118            pi_mendres_umass_edu          5           80.000000        28.534167       1.2                      0.872657                          0.000058
84               pi_yzick_umass_edu       2390           80.000000        8726.0325       1.0                      0.002883                          0.000058
152           pi_gvanhorn_umass_edu       1918           80.000000        12951.675  1.038582                      0.001968                          0.000059
136            pi_chuangg_umass_edu       3359           80.000000     17266.506667  1.106579                      0.001596                          0.000064
89              pi_malvarez_uri_edu        588           80.000000      4331.179722  1.243197                      0.006903                          0.000069
174             pi_jdomke_umass_edu       1443           80.000000      8374.551944  1.002772                      0.003594                           0.00007
107            pi_sfield_umassd_edu         76           80.000000       613.763056       1.0                      0.049761                          0.000071
267            pi_zhoulin_umass_edu        276           80.000000      1921.838611  1.036232                      0.016583                          0.000074
224            pi_huiguan_umass_edu        296           80.000000      3574.550833  1.766892                      0.010016                          0.000083
190            pi_wuzhexu_umass_edu        149           80.000000      1315.088889       1.0                      0.028289                          0.000086
111              pi_ashgiri_uri_edu        227           80.000000      6605.916111  2.114537                      0.005668                          0.000087
133           pi_kandread_umass_edu         11           80.000000        73.576389  2.818182                      0.516883                          0.000088
0                pi_smaji_umass_edu       1306           80.000000      4896.740278  1.067381                       0.00801                          0.000091
200             pi_shlomo_umass_edu         53           80.000000       794.305833  1.132075                      0.052538                          0.000097
20              pi_shenoy_umass_edu        107           80.000000       584.821389       1.0                      0.073187                          0.000099
256             pi_mshao_umassd_edu        419           80.000000      4788.039167  1.472554                         0.009                            0.0001
169               pi_jmdahl_uri_edu         38           80.000000       267.230278       1.0                       0.17614                          0.000109
260              pi_mmanuel_uri_edu         32           80.000000       120.621111       1.0                      0.437021                          0.000122
95        pi_rahul_kulkarni_umb_edu          9           80.000000       259.153333       1.0                      0.211701                          0.000127
27            pi_brenocon_umass_edu         79           80.000000      1095.273889       2.0                       0.05101                           0.00013
157           pi_ccapano_umassd_edu        235           80.000000        1821.2175  1.148936                       0.03236                          0.000137
168                pi_yshen_uri_edu         57           80.000000      1829.084722  3.368421                      0.037485                          0.000159
88              pi_mpuerrer_uri_edu        187           80.000000      2593.114167       1.0                      0.026695                          0.000161
173            pi_pengbai_umass_edu         33           80.000000       651.859167       1.0                      0.108766                          0.000165
262               pi_bps542_uri_edu          8           80.000000       130.182222      3.25                      0.555424                          0.000168
9                pi_allan_umass_edu        245           80.000000      3222.043333  1.726531                      0.025271                          0.000189
247          pi_shiqingma_umass_edu        937           80.000000     12550.644444  1.290288                      0.007048                          0.000206
244             pi_zhuzhang_uri_edu       1003           80.000000     10858.495556  2.020937                      0.008158                          0.000206
139               pi_phuc_umass_edu         52           80.000000       978.803333  2.615385                      0.091715                          0.000209
62              pi_kdonohue_uri_edu         52           80.000000       384.424167      1.75                      0.239939                          0.000214
270               pi_zhangl_uri_edu        744           80.000000       86604.8125  3.822581                      0.001122                          0.000226
245          pi_mserafini_umass_edu        217           80.000000      3464.311944  3.474654                       0.04037                          0.000325
86             pi_gstuart_umass_edu         37           77.405405       612.861111  4.459459                      0.261258                          0.000372
183              pi_gkhanna_uri_edu        232           80.000000     14133.991111  1.090517                      0.014916                           0.00049
91    pi_atreya_chakraborty_umb_edu        999           80.000000       14895.0675       1.0                      0.016773                          0.000581
50             pi_hzhang2_umass_edu         16           80.000000       492.940556    1.3125                      0.593907                           0.00068
286              pi_pkatz_umass_edu         13           80.000000       325.870278       1.0                      1.027523                          0.000778
49            pi_mparente_umass_edu         80           80.000000     28257.033333    3.9625                      0.032574                          0.002139
180            pi_dgobeille_uri_edu         16           80.000000      2390.446389       1.0                      0.926317                          0.005146
90               pi_hendawi_uri_edu         27           80.000000     11260.216389  9.222222                      0.330776                          0.008655
