                            Account  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
71              pi_mshao_umassd_edu        317           80.000000      2193.886667       1.0                      0.005442                      5.405610e-05
21            pi_rsitaram_umass_edu         12           76.666667        29.240278       1.0                      0.442756                      5.861619e-05
174           pi_mccallum_umass_edu        690           79.652174      3469.682500       1.0                      0.003748                      5.887983e-05
105              pi_ashgiri_uri_edu         70           80.000000       907.773056       1.0                      0.014490                      5.955581e-05
129              pi_kundu_umass_edu         39           78.974359       102.563889       1.0                      0.128707                      5.976787e-05
58           pi_scaudill_umassd_edu         82           80.000000       626.076111       1.0                      0.021288                      6.034335e-05
37              pi_bsilva_umass_edu       2659           80.000000      3579.105556       1.0                      0.003750                      6.076874e-05
43   pi_mohammadariful_alam_uml_edu         66           78.787879       475.895000       1.0                      0.028409                      6.121169e-05
69              pi_jensen_umass_edu        212           78.679245      1084.606667       1.0                      0.012663                      6.218574e-05
78            pi_brenocon_umass_edu         21           80.000000        96.272500       1.0                      0.144953                      6.318320e-05
127               pi_zhangl_uri_edu        108           80.000000      2286.392500       1.0                      0.006131                      6.346734e-05
50         pi_ahoumansadr_umass_edu       2380           79.075630      9888.288056       1.0                      0.001442                      6.453797e-05
164            pi_mduarte_umass_edu        144           76.944444       773.054167       1.0                      0.018680                      6.538231e-05
104           pi_hadi_amiri_uml_edu        442           79.457014      1121.215833       1.0                      0.013022                      6.610421e-05
112            pi_pthomas_umass_edu       1698           79.976443      4548.064444       1.0                      0.003271                      6.736459e-05
44             pi_rrahimi_umass_edu        575           79.860870      3463.123333       1.0                      0.004310                      6.757632e-05
98           pi_brownsarahm_uri_edu         21           80.000000       110.969167       1.0                      0.145911                      7.330992e-05
42         pi_vcpartridge_umass_edu          5           80.000000        19.190833       1.0                      0.868435                      7.545761e-05
99        pi_dhruveshpate_umass_edu        303           79.471947      1249.216944       1.0                      0.013438                      7.600812e-05
118              pi_phaas_umass_edu       1081           79.333950      4049.217222       1.0                      0.004193                      7.686844e-05
150          pi_andrewlan_umass_edu         77           80.000000       418.511944       1.0                      0.041958                      7.950468e-05
33         pi_jaimedavila_umass_edu         33           77.575758       126.667500       1.0                      0.142932                      8.197234e-05
82               pi_allan_umass_edu        147           80.000000       846.371389       1.0                      0.021629                      8.288361e-05
56        pi_ebagdasaryan_umass_edu        140           77.142857       491.410278       1.0                      0.037678                      8.383105e-05
27              pi_jdutta_umass_edu        115           77.913043       623.715833       1.0                      0.030464                      8.602781e-05
83              pi_ljiao_umassd_edu        275           79.854545      2144.460833       1.0                      0.009162                      8.895769e-05
75             pi_ychen5_umassd_edu        503           76.739563      2082.875278       1.0                      0.009894                      9.330665e-05
171             pi_shenoy_umass_edu         95           78.315789       405.138056       1.0                      0.055813                      1.023780e-04
35               pi_smaji_umass_edu       1264           77.943038      3315.411667       1.0                      0.006980                      1.047827e-04
18          pi_adamoneill_umass_edu         31           80.000000       177.581944       1.0                      0.139928                      1.125057e-04
116              pi_yzick_umass_edu       2368           79.391892      8661.152222       1.0                      0.003035                      1.190185e-04
115            pi_chuangg_umass_edu       3152           78.845178     14411.448333       1.0                      0.001888                      1.231929e-04
40              pi_marlin_umass_edu         14           62.857143        25.071111       1.0                      1.163567                      1.320800e-04
15            pi_gvanhorn_umass_edu       1842           80.000000     11533.795278       1.0                      0.002540                      1.326520e-04
60              pi_jdomke_umass_edu       1433           79.748779      8310.370000       1.0                      0.003597                      1.353407e-04
6              pi_sfield_umassd_edu         76           80.000000       613.763056       1.0                      0.049761                      1.382794e-04
160            pi_zhoulin_umass_edu        272           78.676471      1829.190833       1.0                      0.017891                      1.481681e-04
28              pi_kdonohue_uri_edu         26           80.000000       125.743611       1.0                      0.265877                      1.513693e-04
140           pi_dganesan_umass_edu         46           80.000000       110.863333       1.0                      0.324114                      1.626888e-04
138            pi_wuzhexu_umass_edu        149           80.000000      1315.088889       1.0                      0.028289                      1.684370e-04
95            pi_ccapano_umassd_edu        218           80.000000      1250.332500       1.0                      0.030784                      1.742713e-04
16              pi_shlomo_umass_edu         48           80.000000       698.275833       1.0                      0.058717                      1.856354e-04
142               pi_jmdahl_uri_edu         38           80.000000       267.230278       1.0                      0.176140                      2.131153e-04
135              pi_mmanuel_uri_edu         32           80.000000       120.621111       1.0                      0.437021                      2.386701e-04
143             pi_malvarez_uri_edu        455           80.000000      2832.035833       1.0                      0.019121                      2.451771e-04
13        pi_rahul_kulkarni_umb_edu          9           80.000000       259.153333       1.0                      0.211701                      2.484003e-04
89             pi_huiguan_umass_edu        219           78.904110      2096.569167       1.0                      0.032744                      3.108183e-04
110             pi_mpuerrer_uri_edu        186           79.784946      2592.226944       1.0                      0.027221                      3.194781e-04
158            pi_pengbai_umass_edu         33           80.000000       651.859167       1.0                      0.108766                      3.210102e-04
26           pi_shiqingma_umass_edu        727           79.944979      8400.038056       1.0                      0.009789                      3.722963e-04
24               pi_gkhanna_uri_edu        218           80.000000     13595.385278       1.0                      0.015836                      9.747920e-04
76    pi_atreya_chakraborty_umb_edu        994           79.879276     14692.582778       1.0                      0.016609                      1.104873e-03
100          pi_mserafini_umass_edu         92           79.565217      2451.271389       1.0                      0.107019                      1.187747e-03
9                pi_pkatz_umass_edu         13           80.000000       325.870278       1.0                      1.027523                      1.516032e-03
53             pi_hzhang2_umass_edu         15           80.000000       486.915556       1.0                      0.795040                      1.752727e-03
59             pi_dgobeille_uri_edu         16           80.000000      2390.446389       1.0                      0.926317                      1.002561e-02
